channel_name, field_name, parameter, units, type
pres03, pressure, pressure, dbar, primary
pres08, pressure, pressure, dbar, primary
pres19, pressure, pressure, dbar, primary
pres20, pressure, pressure, dbar, primary
pres21, pressure, pressure, dbar, primary
pres23, pressure, pressure, dbar, primary
pres24, pressure, pressure, dbar, primary
pres25, pressure, pressure, dbar, primary
pres26, pressure, pressure, dbar, primary
pres28, pressure, pressure, dbar, primary
pres29, pressure, pressure, dbar, primary
pres21_compensated, pressure_compensated, pressure, dbar, derived
pres25_compensated, pressure_compensated, pressure, dbar, derived
pres26_compensated, pressure_compensated, pressure, dbar, derived
pres28_compensated, pressure_compensated, pressure, dbar, derived
pres29_compensated, pressure_compensated, pressure, dbar, derived
temp02, temperature, temperature, degrees_c, primary
temp04, temperature, temperature, degrees_c, primary
temp05, temperature_onboard, temperature, degrees_c, compensation
temp07, temperature, temperature, degrees_c, primary
temp09, temperature, temperature, degrees_c, primary
temp12, temperature, temperature, degrees_c, primary
temp14, temperature, temperature, degrees_c, primary
temp19, temperature, temperature, degrees_c, primary
temp22, temperature, temperature, degrees_c, primary
temp26, temperature, temperature, degrees_c, primary
temp27, temperature, temperature, degrees_c, primary
temp30, temperature, temperature, degrees_c, primary
temp31, temperature, temperature, degrees_c, primary
temp32, temperature, temperature, degrees_c, primary
temp33, temperature, temperature, degrees_c, primary
temp34, temperature, temperature, degrees_c, primary
temp35, temperature, temperature, degrees_c, primary
temp36, temperature, temperature, degrees_c, primary
temp37, temperature, temperature, degrees_c, primary
temp40, temperature, temperature, degrees_c, primary
